Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target
"Austin, Texas, USA",Arman Tsarukyan,Beneil Dariush,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,1:04,UFC Fight Night,2023-12-02 00:00:00.000,Arman Tsarukyan,1.0,6.0,0.0,0.0,1
"Austin, Texas, USA",Jalin Turner,Bobby Green,1.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,2:49,UFC Fight Night,2023-12-02 00:00:00.000,Jalin Turner,1.0,18.0,0.0,0.0,1
"Austin, Texas, USA",Deiveson Figueiredo,Rob Font,0.0,0.0,45.0,46.0,4.0,0.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Deiveson Figueiredo,0.0,-1.0,4.0,0.0,1
"Austin, Texas, USA",Sean Brady,Kelvin Gastelum,0.0,0.0,14.0,18.0,5.0,0.0,3.0,0.0,Welterweight,SUB Kimura,3.0,1:43,UFC Fight Night,2023-12-02 00:00:00.000,Sean Brady,0.0,-4.0,5.0,3.0,1
"Austin, Texas, USA",Joaquim Silva,Clay Guida,0.0,0.0,46.0,43.0,2.0,2.0,2.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Joaquim Silva,0.0,3.0,0.0,2.0,1
"Austin, Texas, USA",Dustin Stoltzfus,Punahele Soriano,1.0,0.0,64.0,31.0,4.0,0.0,1.0,0.0,Middleweight,SUB Rear Naked Choke,2.0,4:10,UFC Fight Night,2023-12-02 00:00:00.000,Dustin Stoltzfus,1.0,33.0,4.0,1.0,1
"Austin, Texas, USA",Miesha Tate,Julia Avila,0.0,0.0,32.0,3.0,4.0,0.0,1.0,0.0,Women's Bantamweight,SUB Rear Naked Choke,3.0,1:15,UFC Fight Night,2023-12-02 00:00:00.000,Miesha Tate,0.0,29.0,4.0,1.0,1
"Austin, Texas, USA",Cody Brundage,Zach Reese,0.0,0.0,9.0,4.0,1.0,0.0,0.0,1.0,Middleweight,KO/TKO Slam,1.0,1:49,UFC Fight Night,2023-12-02 00:00:00.000,Cody Brundage,0.0,5.0,1.0,-1.0,1
"Austin, Texas, USA",Drakkar Klose,Joe Solecki,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,Lightweight,KO/TKO Slam,1.0,1:41,UFC Fight Night,2023-12-02 00:00:00.000,Drakkar Klose,0.0,1.0,-1.0,0.0,1
"Austin, Texas, USA",Rodolfo Bellato,Ihor Potieria,0.0,1.0,80.0,73.0,1.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,2.0,4:17,UFC Fight Night,2023-12-02 00:00:00.000,Rodolfo Bellato,-1.0,7.0,1.0,0.0,1
"Austin, Texas, USA",Jared Gooden,Wellington Turman,0.0,0.0,53.0,37.0,1.0,1.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,2.0,1:11,UFC Fight Night,2023-12-02 00:00:00.000,Jared Gooden,0.0,16.0,0.0,1.0,1
"Austin, Texas, USA",Veronica Hardy,Jamey-Lyn Horth,0.0,0.0,43.0,43.0,1.0,1.0,0.0,0.0,Women's Flyweight,S-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Veronica Hardy,0.0,0.0,0.0,0.0,1
"Las Vegas, Nevada, USA",Brendan Allen,Paul Craig,0.0,0.0,32.0,6.0,2.0,0.0,2.0,1.0,Middleweight,SUB Rear Naked Choke,3.0,0:38,UFC Fight Night,2023-11-18 00:00:00.000,Brendan Allen,0.0,26.0,2.0,1.0,1
"Las Vegas, Nevada, USA",Michael Morales,Jake Matthews,0.0,0.0,84.0,57.0,0.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18 00:00:00.000,Michael Morales,0.0,27.0,0.0,0.0,1
"Las Vegas, Nevada, USA",Chase Hooper,Jordan Leavitt,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,1.0,2:58,UFC Fight Night,2023-11-18 00:00:00.000,Chase Hooper,0.0,-2.0,0.0,1.0,1
